rame;motriceA;motriceB;wikiGroup;serieLabel;typeRaw;miseEnServiceRaw;radiationRemarqueRaw;livreeRaw;stfTitulaireRaw;baptemeRaw;etatRaw;status;confidence;remark;source;extractedAt
Rés.;24211;;Rames 300 : état du matériel au 13 août 2024[8];TGV Atlantique;;1er novembre 1991;utilisée sur la rame 311 (radiée le 15 janvier 2021);/;STF TGV Atlantique;;;ACTIVE;PARTIAL;Une seule motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
501;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;2 juillet 1992;/;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
502;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;26 août 1992;10 août 1998 (demi-rame paire);Atlantique;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
503;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;16 octobre 1992;/;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
504;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;24 novembre 1992;21 octobre 2016;Lacroix;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
505;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;10 décembre 1992;/;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
506;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;2 décembre 1992;/;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
507;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;1er janvier 1993;Remorques radiées 29 août 2023 et motrices renumérotées 555;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
508;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;1er avril 1993;/;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
509;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;8 avril 1993;/;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
510;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;15 mars 1993;/;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
511;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;15 mars 1993;Remorques radiées 29 juin 2023 et motrices renumérotées 554;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
512;;;Rames 500 : état du matériel au 7 décembre 2025;TGV Réseau;;15 mars 1993;/;Carmillon;;;;ACTIVE;PARTIAL;Aucune motrice détectée;wikipedia:Liste_des_TGV;2026-02-27T16:48:25.693Z
