"rame","motriceA","motriceB","serieLabel","type","bapteme","livree","stf","miseEnService","radiationRemarque","remark","confidence","status","wikiGroup","extractedAt"
"001","002","","Wikitable","","-","Orange","STF TGV","4 avril 1972","19 juin 1978Utilisé démotorisée jusqu'en 1988","","PARTIAL","UNKNOWN","Wikitable","2026-04-22T06:08:16.547Z"
"01","","","TGV Sud-Est","","Cannes (11 mai 1991)","Orange / Atlantique / Carmillon","STF TGV Nord","7 août 1978","3 mars 2021","2300123002","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.554Z"
"Morue 1","310331","","TGV Euroduplex (2N2)","3UF","","Carmillon","TEE","28 mai 2014","","","PARTIAL","ACTIVE","Rames 800 : état du matériel au 6 avril 2026","2026-04-22T06:08:16.600Z"
"02","","","TGV Sud-Est","","Marseille (8 octobre 1983)","Carmillon","STF TGV","4 mars 1978","22 janvier 2019","2300323004","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.554Z"
"Morue 2","310332","","TGV Euroduplex (2N2)","3UF","","Carmillon","TATL","Livrée","","","PARTIAL","ACTIVE","Rames 800 : état du matériel au 6 avril 2026","2026-04-22T06:08:16.600Z"
"03","","","TGV Sud-Est","","Belfort (21 janvier 1982)","Carmillon","STF TGV Nord","25 avril 1980","8 janvier 2020","2300523006","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.554Z"
"04","","","TGV Sud-Est","","Rambouillet (16 mai 1981)","Carmillon","STF TGV Nord","8 février 1980","16 janvier 2020","2300723008","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.554Z"
"05","","","TGV Sud-Est","","Ris-Orangis (15 janvier 1983)","Carmillon","STF TGV","10 mars 1980","14 janvier 2019","2300923010","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.554Z"
"06","","","TGV Sud-Est","","Frasne (12 septembre 1981)","Carmillon","STF TGV Nord","29 mars 1980","7 février 2020","2301123012","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.554Z"
"07","","","TGV Sud-Est","","Conflans-Sainte-Honorine (14 novembre 1981)","Carmillon","STF TGV Nord","25 avril 1980","20 janvier 2020","2301323014","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.554Z"
"08","","","TGV Sud-Est","","Rouen (25 mai 1981)","Carmillon","STF TGV Nord","9 juin 1980","11 mars 2020","2301523016","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.555Z"
"09","","","TGV Sud-Est","","Vincennes (28 novembre 1981)","Carmillon","STF TGV Nord","017/018 : 9 juin 1980 ; 187 : 30 septembre 1985","018 : 25 octobre 2013 ; 017/187 + R : 3 décembre 2019","2301723187","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.555Z"
"10","","","TGV Sud-Est","","Hayange (11 novembre 1981)","Atlantique","STF TGV Nord","10 juillet 1980","27 novembre 2013","2301923020","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.555Z"
"11","","","TGV Sud-Est","","Nîmes (20 avril 1982)","Carmillon","STF TGV","23 juillet 1980","18 décembre 2018","2302123022","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.555Z"
"12","","","TGV Sud-Est","","Le Havre (19 septembre 1981)","Carmillon","STF TGV Nord","25 juillet 1980","11 mars 2020","2302323024","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.555Z"
"13","","","TGV Sud-Est","","Ablon-sur-Seine (23 mai 1981)","Carmillon","STF TGV Nord","1er septembre 1980","19 mars 2021","2302523026","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.555Z"
"14","","","TGV Sud-Est","","Montpellier (10 juillet 1981)","Carmillon","STF TGV Nord","10 octobre 1980","19 mars 2021","2302723028","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.556Z"
"15","","","TGV Sud-Est","","Pau (23 juin 1981)","Carmillon","STF TGV","23 octobre 1980","6 janvier 2021","2302923030","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.556Z"
"16","","","TGV Sud-Est","","Lyon (29 mai 1981)","Orange / Carmillon","STF TGV","15 novembre 1980","18 décembre 2018","2303123032","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.556Z"
"17","","","TGV Sud-Est","","Tergnier (16 mai 1981)","Carmillon","STF TGV Nord","7 novembre 1980","22 janvier 2020","2303323034","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.556Z"
"18","","","TGV Sud-Est","","Le Creusot (18 septembre 1981)","Carmillon","STF TGV","25 novembre 1980","30 janvier 2019","2303523036","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.556Z"
"19","","","TGV Sud-Est","","Saint-Amand-les-Eaux (24 avril 1982)","Carmillon","STF TGV Nord","8 décembre 1980","10 septembre 2020","2303723038","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.556Z"
"20","","","TGV Sud-Est","","Colmar (21 novembre 1981)","* : AtlantiqueCarmillon","STF TGV","M (et R d'origine*) : 31 déc. 1980 ; R actuelles : ex-rame 59","R d'origine* : octobre 2016 ; rame recomposée : 8 janvier 2019","2303923040","NONE","HISTORICAL","Rame 100 : état du matériel au 25 septembre 2021","2026-04-22T06:08:16.556Z"
